Nasobenie,100,10,595600,100,595.6
Nasobenie,110,10,723600,110,723.6
Nasobenie,120,10,867600,120,867.6
Nasobenie,130,10,1044300,130,1044.3
Nasobenie,140,10,1237500,140,1237.5
Nasobenie,150,10,1523900,150,1523.9
Nasobenie,160,10,1513300,160,1513.3
Nasobenie,170,10,1685300,170,1685.3
Nasobenie,180,10,1931800,180,1931.8
Nasobenie,190,10,2162000,190,2162
Nasobenie,200,10,2389100,200,2389.1
Nasobenie,210,10,2593000,210,2593
Nasobenie,220,10,2930000,220,2930
Nasobenie,230,10,3094100,230,3094.1
Nasobenie,240,10,3637100,240,3637.1
Nasobenie,250,10,3687700,250,3687.7
Nasobenie,260,10,4023700,260,4023.7
Nasobenie,270,10,4285300,270,4285.3
Nasobenie,280,10,4871300,280,4871.3
Nasobenie,290,10,5284000,290,5284
Nasobenie,300,10,5374200,300,5374.2
Nasobenie,310,10,5616800,310,5616.8
Nasobenie,320,10,6032900,320,6032.9
Nasobenie,330,10,6346700,330,6346.7
Nasobenie,340,10,6758100,340,6758.1
Nasobenie,350,10,7129700,350,7129.7
Nasobenie,360,10,7557700,360,7557.7
Nasobenie,370,10,8004200,370,8004.2
Nasobenie,380,10,9580100,380,9580.1
Nasobenie,390,10,9033700,390,9033.7
Nasobenie,400,10,9429700,400,9429.7
Nasobenie,410,10,9881500,410,9881.5
Nasobenie,420,10,10751200,420,10751.2
Nasobenie,430,10,10915900,430,10915.9
Nasobenie,440,10,11562700,440,11562.7
Nasobenie,450,10,11945000,450,11945
Nasobenie,460,10,12640400,460,12640.4
Nasobenie,470,10,13129400,470,13129.4
Nasobenie,480,10,14117400,480,14117.4
Nasobenie,490,10,14493100,490,14493.1
Nasobenie,500,10,15601900,500,15601.9
Nasobenie,510,10,15279200,510,15279.2
Nasobenie,520,10,16399500,520,16399.5
Nasobenie,530,10,16869500,530,16869.5
Nasobenie,540,10,17377200,540,17377.2
Nasobenie,550,10,19291500,550,19291.5
Nasobenie,560,10,18467700,560,18467.7
Nasobenie,570,10,19292300,570,19292.3
Nasobenie,580,10,24701700,580,24701.7
Nasobenie,590,10,20484800,590,20484.8
Nasobenie,600,10,21233700,600,21233.7
Nasobenie,610,10,21902000,610,21902
Nasobenie,620,10,22655300,620,22655.3
Nasobenie,630,10,23488600,630,23488.6
Nasobenie,640,10,24770800,640,24770.8
Nasobenie,650,10,25525100,650,25525.1
Nasobenie,660,10,25814000,660,25814
Nasobenie,670,10,27201000,670,27201
Nasobenie,680,10,27543100,680,27543.1
Nasobenie,690,10,28296800,690,28296.8
Nasobenie,700,10,29499700,700,29499.7
Nasobenie,710,10,30502900,710,30502.9
Nasobenie,720,10,30641300,720,30641.3
Nasobenie,730,10,32209500,730,32209.5
Nasobenie,740,10,32842800,740,32842.8
Nasobenie,750,10,33831500,750,33831.5
Nasobenie,760,10,34362900,760,34362.9
Nasobenie,770,10,36017500,770,36017.5
Nasobenie,780,10,36331100,780,36331.1
Nasobenie,790,10,37477600,790,37477.6
Nasobenie,800,10,39086600,800,39086.6
Nasobenie,810,10,39179400,810,39179.4
Nasobenie,820,10,41019400,820,41019.4
Nasobenie,830,10,43913500,830,43913.5
Nasobenie,840,10,64256700,840,64256.7
Nasobenie,850,10,44792700,850,44792.7
Nasobenie,860,10,64459300,860,64459.3
Nasobenie,870,10,47548700,870,47548.7
Nasobenie,880,10,46572100,880,46572.1
Nasobenie,890,10,47661900,890,47661.9
Nasobenie,900,10,49142900,900,49142.9
Nasobenie,910,10,51374800,910,51374.8
Nasobenie,920,10,50200400,920,50200.4
Nasobenie,930,10,51759900,930,51759.9
Nasobenie,940,10,52732900,940,52732.9
Nasobenie,950,10,59736200,950,59736.2
Nasobenie,960,10,57368500,960,57368.5
Nasobenie,970,10,56134400,970,56134.4
Nasobenie,980,10,57763600,980,57763.6
Nasobenie,990,10,59273700,990,59273.7
Nasobenie,1000,10,59043100,1000,59043.1
Nasobenie,1010,10,62266800,1010,62266.8
Nasobenie,1020,10,61964900,1020,61964.9
Nasobenie,1030,10,62819100,1030,62819.1
Nasobenie,1040,10,63595300,1040,63595.3
Nasobenie,1050,10,65264100,1050,65264.1
Nasobenie,1060,10,65940300,1060,65940.3
Nasobenie,1070,10,67731800,1070,67731.8
Nasobenie,1080,10,69009700,1080,69009.7
Nasobenie,1090,10,71385800,1090,71385.8
Nasobenie,1100,10,71675300,1100,71675.3
Nasobenie,1110,10,73029800,1110,73029.8
Nasobenie,1120,10,75968100,1120,75968.1
Nasobenie,1130,10,75909700,1130,75909.7
Nasobenie,1140,10,76818500,1140,76818.5
Nasobenie,1150,10,79252500,1150,79252.5
Nasobenie,1160,10,82452300,1160,82452.3
Nasobenie,1170,10,80775200,1170,80775.2
Nasobenie,1180,10,82341500,1180,82341.5
Nasobenie,1190,10,84289900,1190,84289.9
Nasobenie,1200,10,86243400,1200,86243.4
Nasobenie,1210,10,86798400,1210,86798.4
Nasobenie,1220,10,88346900,1220,88346.9
Nasobenie,1230,10,92173800,1230,92173.8
Nasobenie,1240,10,91496300,1240,91496.3
Nasobenie,1250,10,94613600,1250,94613.6
Nasobenie,1260,10,93657200,1260,93657.2
Nasobenie,1270,10,96370100,1270,96370.1
Nasobenie,1280,10,97328700,1280,97328.7
Nasobenie,1290,10,98788400,1290,98788.4
Nasobenie,1300,10,100254000,1300,100254
Nasobenie,1310,10,103386200,1310,103386.2
Nasobenie,1320,10,119201600,1320,119201.6
Nasobenie,1330,10,105874100,1330,105874.1
Nasobenie,1340,10,108646200,1340,108646.2
Nasobenie,1350,10,109577900,1350,109577.9
Nasobenie,1360,10,110632300,1360,110632.3
Nasobenie,1370,10,112843000,1370,112843
Nasobenie,1380,10,112355200,1380,112355.2
Nasobenie,1390,10,116634600,1390,116634.6
Nasobenie,1400,10,116154300,1400,116154.3
Nasobenie,1410,10,118247500,1410,118247.5
Nasobenie,1420,10,121167500,1420,121167.5
Nasobenie,1430,10,122245700,1430,122245.7
Nasobenie,1440,10,124547400,1440,124547.4
Nasobenie,1450,10,126356300,1450,126356.3
Nasobenie,1460,10,127032500,1460,127032.5
Nasobenie,1470,10,129388100,1470,129388.1
Nasobenie,1480,10,129727200,1480,129727.2
Nasobenie,1490,10,132804500,1490,132804.5
Nasobenie,1500,10,137024900,1500,137024.9
Nasobenie,1510,10,135861900,1510,135861.9
Nasobenie,1520,10,137315600,1520,137315.6
Nasobenie,1530,10,140149700,1530,140149.7
Nasobenie,1540,10,142600800,1540,142600.8
Nasobenie,1550,10,143454200,1550,143454.2
Nasobenie,1560,10,147606000,1560,147606
Nasobenie,1570,10,152752800,1570,152752.8
Nasobenie,1580,10,148935400,1580,148935.4
Nasobenie,1590,10,151254400,1590,151254.4
Nasobenie,1600,10,151368700,1600,151368.7
Nasobenie,1610,10,158215500,1610,158215.5
Nasobenie,1620,10,155582700,1620,155582.7
Nasobenie,1630,10,159172400,1630,159172.4
Nasobenie,1640,10,162265500,1640,162265.5
Nasobenie,1650,10,164502900,1650,164502.9
Nasobenie,1660,10,165215300,1660,165215.3
Nasobenie,1670,10,166982500,1670,166982.5
Nasobenie,1680,10,167276200,1680,167276.2
Nasobenie,1690,10,171733700,1690,171733.7
Nasobenie,1700,10,173796300,1700,173796.3
Nasobenie,1710,10,175092500,1710,175092.5
Nasobenie,1720,10,175492300,1720,175492.3
Nasobenie,1730,10,179809600,1730,179809.6
Nasobenie,1740,10,179723300,1740,179723.3
Nasobenie,1750,10,182542100,1750,182542.1
Nasobenie,1760,10,182467700,1760,182467.7
Nasobenie,1770,10,186848700,1770,186848.7
Nasobenie,1780,10,191153700,1780,191153.7
Nasobenie,1790,10,194856600,1790,194856.6
Nasobenie,1800,10,196236400,1800,196236.4
Nasobenie,1810,10,199964200,1810,199964.2
Nasobenie,1820,10,197551700,1820,197551.7
Nasobenie,1830,10,200106400,1830,200106.4
Nasobenie,1840,10,198860400,1840,198860.4
Nasobenie,1850,10,205733200,1850,205733.2
Nasobenie,1860,10,207094200,1860,207094.2
Nasobenie,1870,10,213672100,1870,213672.1
Nasobenie,1880,10,210751300,1880,210751.3
Nasobenie,1890,10,213242500,1890,213242.5
Nasobenie,1900,10,216530200,1900,216530.2
Nasobenie,1910,10,221482800,1910,221482.8
Nasobenie,1920,10,218117900,1920,218117.9
Nasobenie,1930,10,225952200,1930,225952.2
Nasobenie,1940,10,229378600,1940,229378.6
Nasobenie,1950,10,239949600,1950,239949.6
Nasobenie,1960,10,231426000,1960,231426
Nasobenie,1970,10,231860400,1970,231860.4
Nasobenie,1980,10,236843400,1980,236843.4
Nasobenie,1990,10,237800800,1990,237800.8
Nasobenie,2000,10,250349000,2000,250349
